type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.794486000,-95.085182000,336.0,,273.2,-2.6,23.479,35.94,,,
T,39.794497000,-95.085611000,335.9,,271.9,-0.3,23.516,36.76,,,
T,39.794507000,-95.086201000,335.8,,271.3,-0.3,23.566,50.55,,,
T,39.794491000,-95.087492000,334.9,,269.1,-0.8,23.677,110.59,,,
T,39.794513000,-95.091627000,332.6,,270.4,-0.7,24.031,354.17,,,
T,39.794500000,-95.092212000,333.3,,268.3,1.5,24.081,50.13,,,
T,39.794471000,-95.093221000,333.9,,267.9,0.7,24.168,86.48,,,
T,39.794470000,-95.096437000,328.3,,270.0,-2.1,24.443,275.45,,,
T,39.794487000,-95.097188000,327.4,,271.7,-1.4,24.507,64.35,,,
T,39.794531000,-95.097834000,328.8,,275.1,2.5,24.563,55.54,,,
T,39.794659000,-95.098997000,327.6,,278.2,-1.1,24.664,100.62,,,
T,39.794835000,-95.100662000,325.6,,277.8,-1.4,24.807,143.94,,,
T,39.794951000,-95.101541000,323.3,,279.7,-2.9,24.884,76.38,,,
T,39.795419000,-95.103330000,323.5,,288.8,0.1,25.046,161.80,,,
T,39.797492000,-95.113207000,333.2,,285.3,1.1,25.922,876.69,,,
T,39.797738000,-95.114702000,336.0,,282.1,2.2,26.053,130.92,,,
T,39.797857000,-95.115691000,336.5,,278.9,0.6,26.139,85.73,,,
T,39.797951000,-95.117223000,338.2,,274.6,1.2,26.271,131.62,,,
T,39.797961000,-95.118098000,338.8,,270.9,0.8,26.346,74.95,,,
T,39.798069000,-95.124853000,337.1,,271.2,-0.3,26.924,578.66,,,
T,39.798071000,-95.132268000,322.8,,270.0,-2.2,27.559,635.06,,,
T,39.798060000,-95.137896000,324.9,,269.9,0.4,28.041,482.01,,,
T,39.798033000,-95.139292000,326.2,,268.6,1.1,28.161,119.60,,,
T,39.798081000,-95.143038000,327.6,,271.0,0.4,28.482,320.87,,,
T,39.798084000,-95.143272000,327.2,,271.0,-1.5,28.502,20.04,,,
T,39.798134000,-95.147252000,320.3,,270.9,-2.0,28.843,340.91,,,
T,39.798132000,-95.148191000,318.8,,269.8,-1.8,28.923,80.42,,,
T,39.798155000,-95.152875000,312.3,,270.4,-1.6,29.324,401.17,,,
T,39.798192000,-95.158222000,316.4,,270.5,0.9,29.782,457.96,,,
T,39.798259000,-95.159299000,318.7,,274.6,2.4,29.875,92.54,,,
T,39.798347000,-95.160232000,319.4,,277.0,0.9,29.955,80.50,,,
T,39.798543000,-95.161730000,317.0,,279.7,-1.8,30.085,130.13,,,
T,39.798909000,-95.163670000,317.2,,283.8,0.1,30.256,171.05,,,
T,39.799519000,-95.166638000,321.5,,285.0,1.6,30.520,263.06,,,
T,39.800571000,-95.171754000,323.7,,285.0,0.5,30.973,453.45,,,
T,39.800895000,-95.173352000,323.1,,284.8,-0.5,31.114,141.50,,,
T,39.801131000,-95.174406000,321.3,,286.2,-1.8,31.208,93.99,,,
T,39.801338000,-95.175183000,320.9,,289.1,-0.6,31.279,70.40,,,
T,39.801621000,-95.176081000,322.5,,292.3,1.9,31.362,83.08,,,
T,39.801960000,-95.177033000,320.9,,294.9,-1.8,31.452,89.80,,,
T,39.802211000,-95.177720000,319.0,,295.4,-2.9,31.517,65.10,,,
T,39.802636000,-95.178704000,316.3,,299.3,-2.8,31.613,96.58,,,
T,39.803009000,-95.179455000,313.6,,302.9,-3.5,31.690,76.50,,,
T,39.803550000,-95.180509000,311.6,,303.7,-1.8,31.798,108.42,,,
T,39.804203000,-95.181779000,308.9,,303.8,-2.1,31.929,130.71,,,
T,39.806521000,-95.186265000,295.6,,303.9,-2.9,32.391,462.41,,,
T,39.807815000,-95.188817000,288.8,,303.4,-2.6,32.653,261.54,,,
T,39.808711000,-95.190490000,287.3,,304.9,-0.9,32.827,174.42,,,
T,39.809192000,-95.191413000,286.4,,304.2,-0.9,32.923,95.39,,,
T,39.811397000,-95.195240000,275.2,,306.9,-2.7,33.332,409.06,,,
T,39.812524000,-95.197208000,271.0,,306.7,-2.0,33.542,209.89,,,
