type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,36.168298000,-86.785581000,129.2,59.6,0.6,4.382,17.40,,
T,36.168374000,-86.785394000,129.3,63.3,0.7,4.401,18.82,,
T,36.168410000,-86.785293000,129.4,66.2,1.0,4.411,9.93,,
T,36.168458000,-86.785158000,129.4,66.2,0.2,4.424,13.26,,
T,36.168505000,-86.785019000,129.5,67.3,0.8,4.438,13.55,,
T,36.168616000,-86.784593000,130.4,72.1,2.0,4.478,40.26,,
T,36.168688000,-86.784281000,130.5,74.0,0.6,4.507,29.19,,
T,36.168725000,-86.784121000,130.5,74.0,-0.2,4.522,14.97,,
T,36.168738000,-86.783979000,130.6,83.5,0.9,4.535,12.86,,
T,36.168738000,-86.783762000,131.2,90.0,2.7,4.555,19.52,,
T,36.168732000,-86.783643000,131.5,93.6,3.2,4.565,10.73,,
T,36.168727000,-86.783521000,131.8,92.9,3.0,4.576,10.99,,
T,36.168683000,-86.783249000,132.9,101.3,4.2,4.601,24.95,,
T,36.168597000,-86.782904000,134.1,107.2,3.6,4.634,32.47,,
T,36.168517000,-86.782676000,134.6,113.5,2.3,4.656,22.35,,
T,36.168482000,-86.782575000,134.9,113.2,2.8,4.666,9.88,,
T,36.168480000,-86.782569000,134.9,112.4,3.8,4.667,0.58,,
T,36.168353000,-86.782288000,136.1,119.2,4.1,4.696,28.94,,
T,36.168341000,-86.782270000,136.1,129.6,3.4,4.698,2.10,,
T,36.168254000,-86.782146000,136.5,131.0,2.8,4.712,14.75,,
T,36.168177000,-86.782037000,136.9,131.2,2.6,4.725,13.01,,
T,36.168099000,-86.781924000,137.4,130.5,3.9,4.739,13.35,,
T,36.167886000,-86.781689000,138.6,138.3,3.7,4.771,31.71,,
T,36.167703000,-86.781529000,139.4,144.8,3.4,4.795,24.89,,
T,36.167484000,-86.781317000,140.3,142.0,3.0,4.826,30.89,,
T,36.167382000,-86.781209000,140.5,139.5,1.0,4.841,14.92,,
T,36.167361000,-86.781185000,140.5,137.3,1.4,4.844,3.18,,
