type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,37.073170000,-88.749013000,114.5,,261.8,0.9,17.052,22.01,,,
T,37.073127000,-88.749492000,114.5,,263.6,0.1,17.094,42.86,,,
T,37.073097000,-88.749999000,114.4,,265.8,-0.4,17.140,45.21,,,
T,37.073088000,-88.750251000,114.3,,267.4,-0.2,17.162,22.43,,,
T,37.073063000,-88.751036000,114.3,,267.7,-0.0,17.232,69.86,,,
T,37.073055000,-88.751506000,114.1,,268.8,-0.4,17.274,41.80,,,
T,37.073039000,-88.752266000,113.2,,268.5,-1.4,17.341,67.61,,,
T,37.072976000,-88.754863000,112.5,,268.3,-0.3,17.572,231.05,,,
T,37.072941000,-88.756531000,113.7,,268.5,0.8,17.721,148.38,,,
T,37.072856000,-88.760410000,111.6,,268.4,-0.6,18.066,345.08,,,
T,37.072856000,-88.760580000,111.6,,270.0,0.3,18.081,15.12,,,
T,37.072759000,-88.764738000,112.4,,268.3,0.2,18.451,369.91,,,
T,37.072579000,-88.772587000,117.2,,268.4,0.7,19.149,698.27,,,
T,37.072554000,-88.773178000,117.6,,267.0,0.8,19.202,52.63,,,
T,37.072534000,-88.773488000,117.6,,265.4,0.1,19.229,27.66,,,
T,37.072481000,-88.774139000,116.9,,264.2,-1.2,19.288,58.19,,,
T,37.072447000,-88.774485000,116.7,,263.0,-0.9,19.319,31.00,,,
T,37.072406000,-88.774849000,116.7,,262.0,-0.0,19.351,32.69,,,
T,37.072309000,-88.775542000,116.6,,260.1,-0.1,19.414,62.56,,,
T,37.072190000,-88.776249000,116.0,,258.1,-1.0,19.478,64.24,,,
T,37.072133000,-88.776557000,116.3,,256.9,1.2,19.506,28.11,,,
T,37.072047000,-88.776955000,117.2,,254.8,2.4,19.543,36.66,,,
T,37.071862000,-88.777753000,117.9,,253.8,1.0,19.617,73.87,,,
T,37.071604000,-88.778767000,116.8,,252.3,-1.2,19.711,94.61,,,
T,37.071276000,-88.780066000,116.6,,252.4,-0.2,19.832,121.12,,,
T,37.070186000,-88.784325000,113.4,,252.2,-0.8,20.230,397.60,,,
T,37.069323000,-88.787719000,110.0,,252.3,-1.1,20.547,316.66,,,
T,37.068994000,-88.788998000,109.7,,252.1,-0.2,20.666,119.46,,,
T,37.068634000,-88.790412000,110.3,,252.3,0.5,20.798,131.94,,,
T,37.068435000,-88.791208000,110.8,,252.6,0.7,20.872,74.15,,,
T,37.068294000,-88.791759000,111.2,,252.2,0.6,20.924,51.44,,,
T,37.068085000,-88.792575000,111.5,,252.2,0.5,21.000,76.19,,,
T,37.067837000,-88.793537000,112.2,,252.1,0.8,21.090,89.87,,,
T,37.067598000,-88.794479000,112.5,,252.4,0.3,21.178,87.87,,,
T,37.067518000,-88.794826000,112.5,,253.9,0.0,21.210,32.11,,,
T,37.067399000,-88.795394000,112.8,,255.3,0.5,21.262,52.21,,,
T,37.067325000,-88.795780000,112.8,,256.5,-0.0,21.297,35.30,,,
T,37.067240000,-88.796264000,113.0,,257.6,0.5,21.341,44.07,,,
T,37.067195000,-88.796534000,113.2,,258.2,1.0,21.366,24.53,,,
T,37.067154000,-88.796844000,113.5,,260.6,1.1,21.394,27.94,,,
T,37.067065000,-88.797590000,115.0,,261.5,2.2,21.461,67.08,,,
T,37.067035000,-88.797885000,116.2,,262.7,4.7,21.487,26.45,,,
T,37.066974000,-88.798748000,119.9,,264.9,4.7,21.564,77.05,,,
T,37.066951000,-88.799252000,120.1,,266.7,0.6,21.609,44.90,,,
T,37.066943000,-88.799596000,120.0,,268.3,-0.5,21.640,30.61,,,
T,37.066938000,-88.800288000,119.2,,269.5,-1.3,21.701,61.54,,,
T,37.066915000,-88.804610000,122.7,,269.6,0.9,22.086,384.38,,,
T,37.066895000,-88.809240000,123.7,,269.7,0.2,22.498,411.77,,,
T,37.066836000,-88.818798000,138.2,,269.6,1.7,23.348,850.05,,,
T,37.066808000,-88.823840000,138.4,,269.6,0.0,23.796,448.41,,,
