type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.165870000,-86.787191000,350.6,4.052,11.02,,
T,36.165966000,-86.787208000,351.9,4.063,10.76,,
T,36.166074000,-86.787223000,353.6,4.075,12.06,,
T,36.166176000,-86.787233000,355.5,4.086,11.35,,
T,36.166280000,-86.787238000,357.8,4.098,11.55,,
T,36.166382000,-86.787236000,0.9,4.109,11.32,,
T,36.166463000,-86.787220000,9.1,4.118,9.10,,
T,36.166573000,-86.787192000,11.6,4.131,12.46,,
T,36.167017000,-86.787102000,9.3,4.181,49.93,,
T,36.167174000,-86.787034000,19.3,4.199,18.46,,
T,36.167250000,-86.786977000,31.2,4.209,9.87,,
T,36.167436000,-86.786838000,31.1,4.233,24.13,,
T,36.167676000,-86.786608000,37.7,4.267,33.73,,
T,36.167780000,-86.786465000,48.0,4.284,17.28,,
T,36.167865000,-86.786349000,47.8,4.298,14.07,,
T,36.167933000,-86.786242000,51.8,4.310,12.23,,
T,36.168011000,-86.786122000,51.2,4.324,13.84,,
T,36.168119000,-86.785934000,54.6,4.345,20.73,,
T,36.168219000,-86.785748000,56.3,4.365,20.08,,
T,36.168298000,-86.785581000,59.6,4.382,17.40,,
T,36.168374000,-86.785394000,63.3,4.401,18.82,,
T,36.168410000,-86.785293000,66.2,4.411,9.93,,
T,36.168458000,-86.785158000,66.2,4.424,13.26,,
T,36.168505000,-86.785019000,67.3,4.438,13.55,,
T,36.168616000,-86.784593000,72.1,4.478,40.26,,
T,36.168688000,-86.784281000,74.0,4.507,29.19,,
T,36.168725000,-86.784121000,74.0,4.522,14.97,,
T,36.168738000,-86.783979000,83.5,4.535,12.86,,
T,36.168738000,-86.783762000,90.0,4.555,19.52,,
T,36.168732000,-86.783643000,93.6,4.565,10.73,,
T,36.168727000,-86.783521000,92.9,4.576,10.99,,
T,36.168683000,-86.783249000,101.3,4.601,24.95,,
T,36.168597000,-86.782904000,107.2,4.634,32.47,,
T,36.168517000,-86.782676000,113.5,4.656,22.35,,
T,36.168482000,-86.782575000,113.2,4.666,9.88,,
T,36.168480000,-86.782569000,112.4,4.667,0.58,,
T,36.168353000,-86.782288000,119.2,4.696,28.94,,
T,36.168341000,-86.782270000,129.6,4.698,2.10,,
T,36.168254000,-86.782146000,131.0,4.712,14.75,,
T,36.168177000,-86.782037000,131.2,4.725,13.01,,
T,36.168099000,-86.781924000,130.5,4.739,13.35,,
T,36.167886000,-86.781689000,138.3,4.771,31.71,,
T,36.167703000,-86.781529000,144.8,4.795,24.89,,
T,36.167484000,-86.781317000,142.0,4.826,30.89,,
T,36.167382000,-86.781209000,139.5,4.841,14.92,,
T,36.167361000,-86.781185000,137.3,4.844,3.18,,
T,36.167291000,-86.781093000,133.3,4.856,11.35,,
T,36.167246000,-86.781028000,130.6,4.863,7.69,,
T,36.167202000,-86.780949000,124.6,4.872,8.62,,
T,36.167131000,-86.780808000,122.0,4.887,14.93,,
T,36.167075000,-86.780671000,116.9,4.901,13.80,,
T,36.167062000,-86.780639000,116.7,4.904,3.22,,
T,36.167014000,-86.780483000,110.9,4.919,15.01,,
T,36.167007000,-86.780438000,100.9,4.923,4.12,,
T,36.166988000,-86.780311000,100.5,4.935,11.62,,
T,36.166974000,-86.780171000,97.1,4.948,12.69,,
T,36.166982000,-86.780023000,86.2,4.961,13.35,,
T,36.166988000,-86.779976000,81.0,4.965,4.28,,
T,36.167014000,-86.779851000,75.6,4.977,11.61,,
T,36.167073000,-86.779677000,67.2,4.994,16.97,,
T,36.167125000,-86.779563000,60.5,5.005,11.77,,
T,36.167176000,-86.779441000,62.6,5.018,12.35,,
T,36.167482000,-86.778747000,61.4,5.089,71.08,,
T,36.167544000,-86.778605000,61.6,5.103,14.51,,
T,36.167599000,-86.778478000,61.8,5.116,12.95,,
T,36.167773000,-86.778080000,61.6,5.157,40.68,,
T,36.167856000,-86.777902000,60.0,5.176,18.47,,
T,36.167977000,-86.777665000,57.7,5.201,25.20,,
T,36.168026000,-86.777639000,23.2,5.207,5.92,,
T,36.168080000,-86.777525000,59.6,5.219,11.88,,
T,36.168789000,-86.775908000,61.5,5.384,165.39,,
T,36.168789000,-86.775908000,61.5,5.384,0.00,,
T,36.169089000,-86.775222000,61.6,5.454,70.12,,
T,36.170083000,-86.772929000,61.8,5.688,233.94,,
T,36.170457000,-86.772002000,63.4,5.781,93.16,,
T,36.170741000,-86.771088000,68.9,5.869,88.06,,
T,36.170861000,-86.770719000,68.1,5.905,35.77,,
T,36.170959000,-86.770427000,67.4,5.933,28.43,,
T,36.171252000,-86.769570000,67.0,6.017,83.68,,
T,36.171252000,-86.769445000,90.0,6.028,11.25,,
T,36.171303000,-86.769288000,68.1,6.044,15.22,,
T,36.171346000,-86.769139000,70.3,6.058,14.23,,
T,36.171347000,-86.769137000,58.2,6.058,0.21,,
T,36.171354000,-86.769100000,76.8,6.061,3.42,,
T,36.171374000,-86.769002000,75.8,6.070,9.09,,
T,36.171593000,-86.768436000,64.4,6.127,56.42,,
T,36.171738000,-86.768060000,64.5,6.164,37.46,,
T,36.171767000,-86.767986000,64.1,6.172,7.39,,
T,36.171849000,-86.767775000,64.3,6.193,21.05,,
T,36.171946000,-86.767524000,64.4,6.218,25.02,,
T,36.172059000,-86.767263000,61.8,6.244,26.62,,
T,36.172363000,-86.766470000,64.6,6.323,78.92,,
T,36.172504000,-86.766157000,60.8,6.356,32.21,,
T,36.172595000,-86.766007000,53.1,6.372,16.85,,
T,36.172721000,-86.765662000,65.7,6.406,34.04,,
T,36.172846000,-86.765337000,64.5,6.439,32.36,,
T,36.172989000,-86.765358000,353.2,6.455,15.98,,
T,36.173568000,-86.765672000,336.4,6.525,70.18,,
T,36.173628000,-86.765705000,336.1,6.532,7.29,,
T,36.173770000,-86.765750000,345.7,6.549,16.27,,
T,36.173985000,-86.765775000,354.6,6.573,23.96,,
T,36.174568000,-86.765734000,3.2,6.637,64.80,,
T,36.174993000,-86.765717000,1.8,6.685,47.18,,
T,36.175208000,-86.765755000,351.9,6.709,24.10,,
T,36.175336000,-86.765786000,348.9,6.723,14.47,,
T,36.175464000,-86.765832000,343.8,6.738,14.79,,
T,36.175579000,-86.765890000,337.8,6.752,13.79,,
T,36.175700000,-86.765972000,331.3,6.767,15.32,,
T,36.175835000,-86.766090000,324.8,6.785,18.36,,
T,36.175965000,-86.766245000,316.1,6.805,20.06,,
T,36.176051000,-86.766364000,311.8,6.820,14.34,,
T,36.176108000,-86.766446000,310.7,6.829,9.72,,
T,36.176154000,-86.766528000,304.8,6.838,8.97,,
T,36.176218000,-86.766685000,296.8,6.854,15.81,,
T,36.176280000,-86.766892000,290.4,6.874,19.85,,
T,36.176323000,-86.767114000,283.5,6.895,20.53,,
T,36.176400000,-86.767729000,278.8,6.951,55.98,,
T,36.176576000,-86.769729000,276.2,7.132,180.98,,
T,36.176609000,-86.770155000,275.5,7.170,38.50,,
T,36.176817000,-86.770690000,295.7,7.223,53.38,,
T,36.176939000,-86.770845000,314.3,7.243,19.43,,
T,36.177058000,-86.771008000,312.1,7.263,19.73,,
