type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.796168000,-88.195851000,333.3,198.758,25.36,,
T,36.796963000,-88.196371000,332.4,198.857,99.69,,
T,36.797161000,-88.196505000,331.5,198.882,25.02,,
T,36.797359000,-88.196631000,333.0,198.907,24.68,,
T,36.797554000,-88.196764000,331.4,198.932,24.68,,
T,36.797960000,-88.197024000,332.9,198.983,50.68,,
T,36.798158000,-88.197161000,331.0,199.008,25.15,,
T,36.798359000,-88.197293000,332.3,199.033,25.23,,
T,36.798560000,-88.197421000,333.0,199.058,25.06,,
T,36.798761000,-88.197553000,332.3,199.083,25.23,,
T,36.798960000,-88.197687000,331.7,199.108,25.11,,
T,36.799161000,-88.197819000,332.3,199.134,25.23,,
T,36.799252000,-88.197880000,331.8,199.145,11.47,,
T,36.799362000,-88.197952000,332.3,199.159,13.80,,
T,36.799853000,-88.198279000,331.9,199.221,61.81,,
T,36.799971000,-88.198357000,332.1,199.235,14.83,,
T,36.800169000,-88.198491000,331.5,199.260,25.02,,
T,36.800380000,-88.198625000,333.0,199.287,26.29,,
T,36.800581000,-88.198760000,331.7,199.312,25.35,,
T,36.800583000,-88.198763000,309.8,199.312,0.35,,
T,36.800795000,-88.198898000,333.0,199.339,26.43,,
T,36.800905000,-88.198970000,332.3,199.353,13.79,,
T,36.801207000,-88.199169000,332.2,199.391,37.93,,
T,36.801411000,-88.199305000,331.9,199.416,25.69,,
T,36.801817000,-88.199573000,332.1,199.467,51.01,,
T,36.802022000,-88.199704000,332.9,199.493,25.58,,
T,36.802435000,-88.199974000,332.4,199.545,51.78,,
T,36.802642000,-88.200108000,332.6,199.571,25.90,,
T,36.802846000,-88.200243000,332.1,199.596,25.64,,
T,36.803255000,-88.200511000,332.3,199.648,51.30,,
T,36.803459000,-88.200639000,333.3,199.673,25.36,,
T,36.803665000,-88.200762000,334.4,199.698,25.36,,
T,36.803873000,-88.200880000,335.6,199.724,25.37,,
T,36.804048000,-88.200973000,336.9,199.745,21.12,,
T,36.804176000,-88.201041000,337.0,199.760,15.45,,
T,36.804496000,-88.201165000,342.8,199.797,37.20,,
T,36.804825000,-88.201307000,340.9,199.836,38.65,,
T,36.805227000,-88.201451000,344.0,199.882,46.43,,
T,36.805828000,-88.201637000,346.1,199.951,68.73,,
T,36.806614000,-88.201824000,349.2,200.040,88.81,,
T,36.807038000,-88.201914000,350.4,200.088,47.73,,
T,36.807583000,-88.201969000,355.4,200.148,60.68,,
T,36.808370000,-88.202056000,354.9,200.236,87.68,,
T,36.808863000,-88.202082000,357.6,200.291,54.76,,
T,36.809091000,-88.202061000,4.2,200.316,25.37,,
T,36.809318000,-88.202037000,4.8,200.341,25.28,,
T,36.809546000,-88.202008000,5.8,200.367,25.43,,
T,36.809773000,-88.201971000,7.4,200.392,25.41,,
T,36.809871000,-88.201954000,7.9,200.403,10.98,,
T,36.810000000,-88.201929000,8.8,200.418,14.49,,
T,36.810227000,-88.201880000,9.8,200.443,25.57,,
T,36.810372000,-88.201844000,11.2,200.460,16.41,,
T,36.810453000,-88.201825000,10.6,200.469,9.15,,
T,36.810679000,-88.201764000,12.2,200.495,25.66,,
T,36.810903000,-88.201693000,14.2,200.520,25.65,,
T,36.811128000,-88.201618000,14.9,200.546,25.85,,
T,36.811358000,-88.201536000,15.9,200.573,26.55,,
T,36.811580000,-88.201448000,17.6,200.598,25.86,,
T,36.811801000,-88.201351000,19.4,200.624,26.01,,
T,36.812036000,-88.201258000,17.6,200.652,27.37,,
T,36.812246000,-88.201149000,22.6,200.677,25.25,,
T,36.812458000,-88.201033000,23.7,200.703,25.70,,
T,36.812673000,-88.200914000,23.9,200.729,26.12,,
T,36.812884000,-88.200791000,25.0,200.755,25.86,,
T,36.813094000,-88.200661000,26.4,200.781,26.03,,
T,36.813304000,-88.200533000,26.0,200.807,25.95,,
T,36.813515000,-88.200403000,26.3,200.833,26.13,,
T,36.813519000,-88.200402000,11.3,200.833,0.45,,
T,36.813935000,-88.200143000,26.5,200.885,51.63,,
T,36.814513000,-88.199789000,26.1,200.956,71.50,,
T,36.814563000,-88.199760000,24.9,200.963,6.12,,
T,36.814983000,-88.199503000,26.1,201.015,51.94,,
T,36.815414000,-88.199238000,26.2,201.068,53.36,,
T,36.816079000,-88.198824000,26.5,201.150,82.53,,
T,36.816170000,-88.198770000,25.4,201.162,11.19,,
T,36.816301000,-88.198688000,26.6,201.178,16.27,,
T,36.816524000,-88.198553000,25.9,201.205,27.52,,
T,36.816969000,-88.198295000,24.9,201.260,54.49,,
T,36.817189000,-88.198174000,23.8,201.287,26.69,,
T,36.817633000,-88.197947000,22.3,201.340,53.27,,
T,36.817854000,-88.197846000,20.1,201.366,26.13,,
T,36.818078000,-88.197736000,21.5,201.393,26.73,,
T,36.818307000,-88.197644000,17.8,201.419,26.71,,
T,36.818540000,-88.197586000,11.3,201.446,26.37,,
T,36.818770000,-88.197517000,13.5,201.472,26.26,,
T,36.819002000,-88.197451000,12.8,201.498,26.41,,
T,36.819233000,-88.197390000,11.9,201.525,26.21,,
T,36.819466000,-88.197335000,10.7,201.551,26.32,,
T,36.819700000,-88.197287000,9.3,201.577,26.32,,
T,36.819941000,-88.197251000,6.8,201.604,26.94,,
T,36.820182000,-88.197220000,5.9,201.631,26.89,,
T,36.820422000,-88.197194000,5.0,201.658,26.73,,
T,36.820568000,-88.197184000,3.1,201.674,16.23,,
T,36.820663000,-88.197176000,3.9,201.685,10.57,,
T,36.820680000,-88.197176000,0.0,201.687,1.89,,
T,36.820905000,-88.197165000,2.2,201.712,24.99,,
T,36.821145000,-88.197157000,1.5,201.738,26.64,,
T,36.821303000,-88.197154000,0.9,201.756,17.54,,
T,36.821383000,-88.197153000,0.6,201.765,8.88,,
T,36.821620000,-88.197157000,359.2,201.791,26.30,,
T,36.821853000,-88.197168000,357.8,201.817,25.88,,
T,36.822083000,-88.197190000,355.6,201.842,25.60,,
T,36.822311000,-88.197216000,354.8,201.868,25.41,,
T,36.822540000,-88.197248000,353.6,201.893,25.57,,
T,36.822768000,-88.197288000,352.0,201.919,25.55,,
T,36.822994000,-88.197335000,350.5,201.944,25.43,,
T,36.823218000,-88.197387000,349.5,201.970,25.29,,
T,36.823441000,-88.197443000,348.6,201.995,25.25,,
T,36.823602000,-88.197488000,347.4,202.013,18.31,,
T,36.823839000,-88.197558000,346.7,202.040,27.03,,
T,36.823888000,-88.197571000,348.0,202.046,5.56,,
T,36.824110000,-88.197647000,344.7,202.071,25.55,,
T,36.824332000,-88.197726000,344.1,202.097,25.62,,
T,36.824549000,-88.197807000,343.4,202.122,25.14,,
T,36.824645000,-88.197844000,342.9,202.133,11.15,,
T,36.824775000,-88.197894000,342.9,202.148,15.10,,
T,36.825000000,-88.197979000,343.2,202.174,26.10,,
T,36.825197000,-88.198055000,342.8,202.197,22.89,,
T,36.825683000,-88.198237000,343.3,202.254,56.32,,
T,36.825758000,-88.198267000,342.2,202.262,8.74,,
T,36.825902000,-88.198325000,342.1,202.279,16.80,,
T,36.826131000,-88.198415000,342.5,202.306,26.65,,
T,36.826369000,-88.198503000,343.5,202.333,27.55,,
T,36.826601000,-88.198592000,342.9,202.360,26.94,,
T,36.826827000,-88.198681000,342.5,202.387,26.31,,
T,36.827269000,-88.198870000,341.1,202.439,51.87,,
T,36.827496000,-88.198952000,343.9,202.465,26.23,,
T,36.827709000,-88.199045000,340.7,202.490,25.05,,
T,36.827936000,-88.199146000,340.4,202.517,26.75,,
T,36.828157000,-88.199249000,339.5,202.543,26.19,,
T,36.828364000,-88.199364000,336.0,202.568,25.16,,
T,36.828595000,-88.199470000,339.8,202.595,27.32,,
T,36.828803000,-88.199608000,332.0,202.621,26.16,,
T,36.829022000,-88.199748000,332.9,202.649,27.32,,
T,36.829237000,-88.199890000,332.1,202.676,27.01,,
T,36.829450000,-88.200040000,330.6,202.703,27.16,,
T,36.829659000,-88.200195000,329.3,202.730,27.00,,
T,36.829864000,-88.200355000,328.0,202.757,26.86,,
T,36.830026000,-88.200486000,327.1,202.778,21.44,,
T,36.830267000,-88.200684000,326.7,202.810,32.05,,
T,36.830441000,-88.200831000,325.9,202.834,23.34,,
T,36.830464000,-88.200852000,323.8,202.837,3.17,,
T,36.830660000,-88.201021000,325.4,202.863,26.47,,
T,36.830767000,-88.201114000,325.2,202.878,14.49,,
T,36.831246000,-88.201530000,325.2,202.943,64.83,,
T,36.831630000,-88.201869000,324.8,202.995,52.25,,
T,36.831822000,-88.202033000,325.6,203.021,25.85,,
T,36.832018000,-88.202191000,327.2,203.047,25.92,,
T,36.832216000,-88.202347000,327.8,203.073,26.01,,
T,36.832416000,-88.202495000,329.4,203.098,25.82,,
T,36.832436000,-88.202509000,330.7,203.101,2.55,,
T,36.832618000,-88.202640000,330.1,203.124,23.33,,
T,36.832823000,-88.202776000,332.0,203.150,25.78,,
T,36.833031000,-88.202908000,333.1,203.176,25.91,,
T,36.833241000,-88.203031000,334.9,203.202,25.76,,
T,36.833456000,-88.203145000,337.0,203.228,25.94,,
T,36.833667000,-88.203255000,337.4,203.253,25.39,,
T,36.833895000,-88.203349000,341.7,203.280,26.66,,
T,36.834115000,-88.203438000,342.1,203.305,25.67,,
T,36.834334000,-88.203517000,343.9,203.331,25.30,,
T,36.834438000,-88.203550000,345.8,203.343,11.91,,
T,36.834552000,-88.203588000,345.1,203.356,13.10,,
T,36.834994000,-88.203719000,346.7,203.406,50.42,,
T,36.835406000,-88.203838000,347.0,203.453,46.94,,
T,36.835443000,-88.203847000,349.0,203.457,4.18,,
T,36.835671000,-88.203915000,346.6,203.483,26.02,,
T,36.835890000,-88.203979000,346.8,203.508,24.96,,
T,36.835890000,-88.203979000,346.8,203.508,0.00,,
T,36.836127000,-88.204051000,346.3,203.535,27.07,,
T,36.836575000,-88.204192000,345.9,203.587,51.28,,
T,36.836795000,-88.204270000,344.2,203.612,25.39,,
T,36.836853000,-88.204294000,341.7,203.619,6.78,,
T,36.837011000,-88.204359000,341.8,203.637,18.47,,
T,36.837223000,-88.204462000,338.8,203.662,25.26,,
T,36.837428000,-88.204584000,334.5,203.688,25.22,,
T,36.837629000,-88.204721000,331.4,203.713,25.43,,
T,36.837824000,-88.204873000,328.0,203.739,25.54,,
T,36.838014000,-88.205036000,325.5,203.764,25.61,,
T,36.838201000,-88.205205000,324.1,203.790,25.65,,
T,36.838387000,-88.205378000,323.3,203.816,25.77,,
T,36.838571000,-88.205553000,322.7,203.841,25.70,,
T,36.838753000,-88.205732000,321.8,203.867,25.75,,
T,36.838935000,-88.205904000,322.9,203.893,25.36,,
T,36.839293000,-88.206247000,322.5,203.943,50.14,,
T,36.839470000,-88.206419000,322.1,203.968,24.92,,
T,36.839647000,-88.206593000,321.8,203.993,25.03,,
T,36.839827000,-88.206768000,322.1,204.018,25.35,,
T,36.840011000,-88.206936000,323.8,204.043,25.33,,
T,36.840194000,-88.207124000,320.6,204.070,26.34,,
T,36.840381000,-88.207303000,322.5,204.096,26.18,,
T,36.840755000,-88.207667000,322.1,204.149,52.70,,
T,36.841315000,-88.208205000,322.4,204.227,78.52,,
T,36.841503000,-88.208382000,323.0,204.253,26.16,,
T,36.841691000,-88.208557000,323.3,204.279,26.06,,
T,36.841876000,-88.208733000,322.7,204.305,25.84,,
T,36.842060000,-88.208910000,322.4,204.331,25.81,,
T,36.842426000,-88.209257000,322.8,204.382,51.07,,
T,36.842607000,-88.209430000,322.6,204.407,25.33,,
T,36.842789000,-88.209606000,322.3,204.433,25.58,,
T,36.842971000,-88.209780000,322.6,204.458,25.47,,
T,36.843154000,-88.209958000,322.1,204.484,25.78,,
T,36.843334000,-88.210137000,321.5,204.510,25.57,,
T,36.843524000,-88.210315000,323.1,204.536,26.39,,
T,36.843707000,-88.210492000,322.3,204.562,25.72,,
T,36.843889000,-88.210666000,322.6,204.587,25.47,,
T,36.844245000,-88.211012000,322.1,204.637,50.13,,
T,36.844418000,-88.211183000,321.7,204.662,24.52,,
T,36.844581000,-88.211363000,318.5,204.686,24.19,,
T,36.844638000,-88.211433000,315.5,204.695,8.89,,
T,36.844733000,-88.211555000,314.2,204.710,15.15,,
T,36.844873000,-88.211757000,310.9,204.734,23.79,,
T,36.845000000,-88.211970000,306.7,204.758,23.65,,
T,36.845114000,-88.212196000,302.2,204.781,23.80,,
T,36.845212000,-88.212437000,296.9,204.805,24.09,,
T,36.845294000,-88.212688000,292.2,204.830,24.17,,
T,36.845317000,-88.212784000,286.7,204.839,8.93,,
T,36.845357000,-88.212948000,287.0,204.854,15.29,,
T,36.845401000,-88.213217000,281.6,204.878,24.48,,
T,36.845430000,-88.213489000,277.6,204.903,24.47,,
T,36.845449000,-88.213764000,274.9,204.927,24.62,,
T,36.845462000,-88.214039000,273.4,204.952,24.57,,
T,36.845472000,-88.214315000,272.6,204.977,24.64,,
T,36.845484000,-88.214692000,272.3,205.010,33.65,,
T,36.845519000,-88.215725000,272.4,205.103,92.22,,
T,36.845528000,-88.216010000,272.3,205.128,25.44,,
T,36.845549000,-88.216573000,272.7,205.178,50.27,,
T,36.845561000,-88.217044000,271.8,205.220,42.03,,
T,36.845570000,-88.217685000,271.0,205.277,57.18,,
T,36.845570000,-88.218201000,270.0,205.323,46.02,,
T,36.845571000,-88.218520000,270.2,205.352,28.45,,
T,36.845570000,-88.218794000,269.7,205.376,24.44,,
T,36.845570000,-88.219601000,270.0,205.448,71.98,,
T,36.845568000,-88.220345000,269.8,205.515,66.36,,
T,36.845564000,-88.221096000,269.6,205.582,66.98,,
T,36.845563000,-88.221586000,269.9,205.625,43.70,,
T,36.845562000,-88.221744000,269.5,205.639,14.09,,
T,36.845561000,-88.221988000,269.7,205.661,21.76,,
T,36.845551000,-88.224109000,269.7,205.850,189.18,,
T,36.845549000,-88.225548000,269.9,205.979,128.35,,
T,36.845550000,-88.225928000,270.2,206.013,33.89,,
T,36.845549000,-88.226457000,269.9,206.060,47.18,,
T,36.845542000,-88.227517000,269.5,206.154,94.55,,
T,36.845542000,-88.227773000,270.0,206.177,22.83,,
T,36.845540000,-88.228521000,269.8,206.244,66.72,,
T,36.845538000,-88.228766000,269.4,206.266,21.85,,
T,36.845538000,-88.229482000,270.0,206.330,63.86,,
T,36.845534000,-88.230770000,269.8,206.445,114.88,,
T,36.845535000,-88.230958000,270.4,206.461,16.77,,
T,36.845538000,-88.231137000,271.2,206.477,15.97,,
T,36.845534000,-88.231657000,269.4,206.524,46.38,,
T,36.845532000,-88.232037000,269.6,206.558,33.89,,
T,36.845530000,-88.232479000,269.7,206.597,39.42,,
T,36.845531000,-88.232652000,270.4,206.612,15.43,,
T,36.845531000,-88.232879000,270.0,206.633,20.25,,
T,36.845530000,-88.233207000,269.8,206.662,29.25,,
T,36.845528000,-88.233573000,269.6,206.695,32.64,,
T,36.845528000,-88.234463000,270.0,206.774,79.38,,
T,36.845523000,-88.235386000,269.6,206.856,82.33,,
T,36.845523000,-88.235620000,270.0,206.877,20.87,,
T,36.845519000,-88.236136000,269.4,206.923,46.02,,
T,36.845527000,-88.236950000,270.7,206.996,72.61,,
T,36.845532000,-88.237221000,271.3,207.020,24.18,,
T,36.845547000,-88.237495000,273.9,207.044,24.50,,
T,36.845575000,-88.237766000,277.4,207.069,24.37,,
T,36.845600000,-88.237904000,282.8,207.081,12.62,,
T,36.845621000,-88.238029000,281.9,207.093,11.39,,
T,36.845682000,-88.238284000,286.6,207.117,23.73,,
T,36.845759000,-88.238534000,291.1,207.140,23.88,,
T,36.845850000,-88.238772000,295.5,207.164,23.51,,
T,36.845957000,-88.239001000,300.3,207.188,23.63,,
T,36.846076000,-88.239218000,304.4,207.211,23.43,,
T,36.846162000,-88.239352000,308.7,207.226,15.29,,
T,36.846208000,-88.239422000,309.4,207.234,8.06,,
T,36.846353000,-88.239620000,312.5,207.258,23.89,,
T,36.846654000,-88.240005000,314.3,207.306,47.91,,
T,36.847346000,-88.240869000,315.0,207.415,108.79,,
T,36.850508000,-88.244726000,315.7,207.906,491.39,,
T,36.850656000,-88.244942000,310.6,207.932,25.32,,
T,36.850795000,-88.245168000,307.5,207.957,25.38,,
T,36.850921000,-88.245391000,305.2,207.981,24.31,,
T,36.851045000,-88.245641000,301.8,208.008,26.20,,
T,36.851152000,-88.245889000,298.3,208.033,25.10,,
T,36.851247000,-88.246143000,295.1,208.058,24.99,,
T,36.851331000,-88.246399000,292.3,208.082,24.66,,
T,36.852685000,-88.250924000,290.5,208.513,430.62,,
T,36.852756000,-88.251202000,287.7,208.539,26.01,,
T,36.852780000,-88.251320000,284.3,208.550,10.86,,
T,36.852814000,-88.251484000,284.5,208.565,15.10,,
T,36.852845000,-88.251781000,277.4,208.592,26.71,,
T,36.852865000,-88.252065000,275.0,208.617,25.43,,
T,36.852873000,-88.252355000,272.0,208.643,25.88,,
T,36.852872000,-88.252440000,269.2,208.650,7.58,,
T,36.852868000,-88.252642000,268.6,208.668,18.02,,
T,36.852854000,-88.252927000,266.5,208.694,25.46,,
T,36.852656000,-88.255768000,265.0,208.948,254.32,,
T,36.852640000,-88.256060000,266.1,208.974,26.10,,
T,36.852627000,-88.256351000,266.8,209.000,25.99,,
T,36.852619000,-88.256642000,268.0,209.026,25.97,,
T,36.852616000,-88.256928000,269.2,209.052,25.51,,
T,36.852617000,-88.257212000,270.3,209.077,25.33,,
T,36.852624000,-88.257494000,271.8,209.102,25.16,,
T,36.852635000,-88.257725000,273.4,209.123,20.64,,
T,36.852662000,-88.258047000,276.0,209.152,28.87,,
T,36.852698000,-88.258315000,279.5,209.176,24.23,,
T,36.852746000,-88.258582000,282.7,209.200,24.40,,
T,36.852802000,-88.258839000,285.2,209.224,23.75,,
T,36.852867000,-88.259091000,287.9,209.248,23.60,,
T,36.852941000,-88.259335000,290.8,209.271,23.26,,
T,36.852965000,-88.259403000,293.8,209.278,6.62,,
T,36.853026000,-88.259573000,294.2,209.294,16.60,,
T,36.853122000,-88.259806000,297.2,209.318,23.35,,
T,36.853229000,-88.260032000,300.6,209.341,23.39,,
T,36.853348000,-88.260255000,303.7,209.365,23.87,,
T,36.853478000,-88.260472000,306.8,209.389,24.14,,
T,36.853580000,-88.260626000,309.6,209.407,17.80,,
T,36.853769000,-88.260890000,311.8,209.438,31.53,,
T,36.853932000,-88.261085000,316.3,209.463,25.09,,
T,36.854106000,-88.261268000,319.9,209.489,25.28,,
T,36.854292000,-88.261442000,323.2,209.515,25.82,,
T,36.854487000,-88.261603000,326.5,209.541,25.97,,
T,36.866142000,-88.269592000,331.3,211.017,1476.64,,
T,36.871495000,-88.273261000,331.3,211.695,678.17,,
T,36.874857000,-88.275566000,331.3,212.121,425.96,,
T,36.874988000,-88.275655000,331.5,212.138,16.56,,
T,36.875384000,-88.275921000,331.7,212.188,49.94,,
T,36.876379000,-88.276603000,331.3,212.314,126.05,,
T,36.876581000,-88.276740000,331.5,212.339,25.53,,
T,36.876782000,-88.276879000,331.0,212.365,25.52,,
T,36.876985000,-88.277017000,331.5,212.391,25.67,,
T,36.877188000,-88.277159000,330.8,212.416,25.84,,
T,36.877598000,-88.277440000,331.3,212.468,51.94,,
T,36.877823000,-88.277596000,331.0,212.497,28.58,,
T,36.878218000,-88.277866000,331.3,212.547,50.01,,
T,36.878633000,-88.278147000,331.6,212.599,52.43,,
T,36.878679000,-88.278179000,330.9,212.605,5.85,,
T,36.879050000,-88.278429000,331.7,212.652,46.82,,
T,36.879114000,-88.278474000,330.6,212.660,8.16,,
T,36.879259000,-88.278572000,331.6,212.679,18.31,,
T,36.879468000,-88.278716000,331.1,212.705,26.51,,
T,36.879885000,-88.279007000,330.8,212.758,53.05,,
T,36.880090000,-88.279155000,330.0,212.784,26.30,,
T,36.880290000,-88.279305000,329.0,212.810,25.91,,
T,36.880488000,-88.279458000,328.3,212.836,25.86,,
T,36.880683000,-88.279612000,327.7,212.862,25.63,,
T,36.880876000,-88.279769000,326.9,212.887,25.59,,
T,36.881039000,-88.279907000,325.9,212.909,21.88,,
T,36.881067000,-88.279930000,326.7,212.913,3.72,,
T,36.881256000,-88.280093000,325.4,212.939,25.52,,
T,36.881442000,-88.280261000,324.2,212.964,25.50,,
T,36.881626000,-88.280433000,323.2,212.990,25.54,,
T,36.881807000,-88.280609000,322.1,213.015,25.49,,
T,36.881986000,-88.280787000,321.5,213.040,25.42,,
T,36.882161000,-88.280965000,320.9,213.066,25.08,,
T,36.882334000,-88.281148000,319.8,213.091,25.19,,
T,36.882504000,-88.281332000,319.1,213.116,25.00,,
T,36.882670000,-88.281520000,317.8,213.141,24.91,,
T,36.882834000,-88.281709000,317.3,213.165,24.80,,
T,36.882995000,-88.281900000,316.5,213.190,24.68,,
T,36.883152000,-88.282092000,315.6,213.215,24.42,,
T,36.883308000,-88.282287000,315.0,213.239,24.53,,
T,36.883461000,-88.282486000,313.9,213.264,24.56,,
T,36.883615000,-88.282688000,313.6,213.288,24.83,,
T,36.883770000,-88.282895000,313.1,213.314,25.23,,
T,36.883926000,-88.283113000,311.8,213.340,26.03,,
T,36.883956000,-88.283157000,310.4,213.345,5.14,,
T,36.884080000,-88.283336000,310.9,213.366,21.07,,
T,36.884237000,-88.283568000,310.2,213.393,27.04,,
T,36.884392000,-88.283803000,309.5,213.420,27.11,,
T,36.884544000,-88.284044000,308.3,213.447,27.32,,
T,36.884691000,-88.284286000,307.2,213.474,27.05,,
T,36.884734000,-88.284360000,306.0,213.483,8.14,,
T,36.884834000,-88.284530000,306.3,213.501,18.78,,
T,36.884974000,-88.284775000,305.5,213.528,26.80,,
T,36.885110000,-88.285020000,304.8,213.555,26.55,,
T,36.885242000,-88.285267000,303.7,213.581,26.45,,
T,36.885370000,-88.285515000,302.8,213.607,26.28,,
T,36.885494000,-88.285766000,301.7,213.634,26.27,,
T,36.885615000,-88.286016000,301.2,213.660,26.02,,
T,36.885710000,-88.286221000,300.1,213.681,21.10,,
T,36.885731000,-88.286266000,300.3,213.685,4.64,,
T,36.885959000,-88.286772000,299.4,213.737,51.72,,
T,36.886083000,-88.287051000,299.1,213.766,28.42,,
T,36.886300000,-88.287536000,299.2,213.815,49.49,,
T,36.886384000,-88.287727000,298.8,213.835,19.41,,
T,36.886865000,-88.288804000,299.2,213.944,109.85,,
T,36.887086000,-88.289303000,299.0,213.995,50.80,,
T,36.887757000,-88.290827000,298.8,214.150,154.92,,
T,36.888441000,-88.292356000,299.2,214.306,156.01,,
T,36.888556000,-88.292615000,299.0,214.332,26.38,,
T,36.888671000,-88.292871000,299.3,214.359,26.15,,
T,36.888782000,-88.293124000,298.7,214.384,25.70,,
T,36.888892000,-88.293371000,299.1,214.409,25.18,,
T,36.889100000,-88.293845000,298.8,214.458,48.15,,
T,36.889200000,-88.294069000,299.2,214.480,22.84,,
T,36.889384000,-88.294486000,298.9,214.523,42.41,,
T,36.889469000,-88.294681000,298.6,214.543,19.78,,
T,36.889550000,-88.294859000,299.6,214.561,18.24,,
T,36.889624000,-88.295027000,298.8,214.578,17.08,,
T,36.889657000,-88.295098000,300.2,214.585,7.31,,
T,36.889810000,-88.295447000,298.7,214.621,35.44,,
T,36.890158000,-88.296227000,299.2,214.700,79.53,,
T,36.890326000,-88.296608000,298.9,214.739,38.74,,
T,36.890701000,-88.297466000,298.7,214.826,87.07,,
T,36.890803000,-88.297696000,299.0,214.850,23.42,,
T,36.891017000,-88.298168000,299.5,214.898,48.31,,
T,36.891129000,-88.298410000,300.1,214.923,24.90,,
T,36.891243000,-88.298649000,300.8,214.947,24.78,,
T,36.891359000,-88.298889000,301.1,214.972,24.97,,
T,36.891597000,-88.299371000,301.7,215.023,50.43,,
T,36.891719000,-88.299611000,302.4,215.048,25.32,,
T,36.891843000,-88.299849000,303.1,215.073,25.29,,
T,36.891968000,-88.300079000,304.2,215.098,24.75,,
T,36.892096000,-88.300305000,305.3,215.123,24.65,,
T,36.892224000,-88.300527000,305.8,215.147,24.36,,
T,36.892354000,-88.300747000,306.5,215.172,24.35,,
T,36.892877000,-88.301622000,306.8,215.269,97.22,,
T,36.892887000,-88.301637000,309.8,215.271,1.74,,
T,36.893007000,-88.301838000,306.7,215.293,22.32,,
T,36.893273000,-88.302273000,307.4,215.342,48.73,,
T,36.893544000,-88.302711000,307.7,215.391,49.28,,
T,36.893558000,-88.302735000,306.1,215.394,2.64,,
T,36.893818000,-88.303156000,307.7,215.441,47.34,,
T,36.893954000,-88.303382000,307.0,215.466,25.17,,
T,36.894090000,-88.303605000,307.3,215.491,24.96,,
T,36.894224000,-88.303830000,306.7,215.516,24.97,,
T,36.894300000,-88.303955000,307.2,215.530,13.97,,
T,36.894360000,-88.304055000,306.9,215.541,11.13,,
T,36.894492000,-88.304286000,305.5,215.566,25.27,,
T,36.894622000,-88.304520000,304.8,215.592,25.36,,
T,36.894747000,-88.304762000,302.9,215.617,25.65,,
T,36.894868000,-88.305009000,301.5,215.643,25.79,,
T,36.894984000,-88.305266000,299.4,215.669,26.28,,
T,36.895092000,-88.305527000,297.4,215.696,26.17,,
T,36.895194000,-88.305794000,295.5,215.722,26.35,,
T,36.895290000,-88.306063000,294.0,215.748,26.24,,
T,36.895379000,-88.306333000,292.4,215.774,26.01,,
T,36.895463000,-88.306603000,291.3,215.800,25.81,,
T,36.895542000,-88.306873000,290.1,215.826,25.61,,
T,36.895697000,-88.307420000,289.5,215.877,51.70,,
T,36.896106000,-88.308848000,289.7,216.012,135.13,,
T,36.896271000,-88.309436000,289.3,216.068,55.52,,
T,36.896356000,-88.309736000,289.5,216.096,28.35,,
T,36.896621000,-88.310654000,289.8,216.183,86.95,,
T,36.896804000,-88.311267000,290.5,216.242,58.29,,
T,36.896900000,-88.311570000,291.6,216.271,29.03,,
T,36.896998000,-88.311870000,292.2,216.299,28.87,,
T,36.897100000,-88.312167000,293.2,216.328,28.79,,
T,36.897206000,-88.312461000,294.3,216.357,28.72,,
T,36.897316000,-88.312751000,295.4,216.386,28.59,,
T,36.897430000,-88.313038000,296.4,216.414,28.54,,
T,36.897547000,-88.313322000,297.3,216.443,28.45,,
T,36.898139000,-88.314702000,298.2,216.582,139.45,,
T,36.898183000,-88.314802000,298.8,216.592,10.16,,
T,36.898259000,-88.314976000,298.6,216.610,17.65,,
T,36.898380000,-88.315248000,299.1,216.638,27.71,,
T,36.898739000,-88.316071000,298.6,216.721,83.47,,
T,36.899096000,-88.316897000,298.4,216.805,83.60,,
T,36.899216000,-88.317168000,299.0,216.832,27.58,,
T,36.899294000,-88.317347000,298.6,216.850,18.15,,
T,36.899334000,-88.317439000,298.5,216.860,9.32,,
T,36.899572000,-88.317969000,299.3,216.914,54.12,,
T,36.899694000,-88.318231000,300.2,216.941,26.99,,
T,36.899818000,-88.318487000,301.2,216.967,26.65,,
T,36.899945000,-88.318741000,302.0,216.994,26.67,,
T,36.900075000,-88.318993000,302.8,217.021,26.69,,
T,36.900207000,-88.319239000,303.9,217.047,26.37,,
T,36.900341000,-88.319481000,304.7,217.073,26.20,,
T,36.900478000,-88.319718000,305.9,217.099,26.03,,
T,36.900616000,-88.319952000,306.4,217.125,25.87,,
T,36.900755000,-88.320182000,307.1,217.151,25.65,,
T,36.900874000,-88.320379000,307.1,217.173,21.97,,
T,36.901040000,-88.320628000,309.8,217.202,28.84,,
T,36.901186000,-88.320848000,309.7,217.227,25.44,,
T,36.901335000,-88.321065000,310.7,217.253,25.45,,
T,36.901488000,-88.321279000,311.8,217.278,25.54,,
T,36.901643000,-88.321489000,312.7,217.304,25.42,,
T,36.901799000,-88.321697000,313.2,217.329,25.36,,
T,36.901956000,-88.321899000,314.2,217.354,25.05,,
T,36.902116000,-88.322099000,315.0,217.379,25.16,,
T,36.902257000,-88.322267000,316.4,217.401,21.66,,
T,36.902351000,-88.322378000,316.6,217.415,14.38,,
