type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.170006000,-97.112842000,448.8,,246.5,-0.8,40.132,80.76,,,
T,40.169777000,-97.113594000,448.2,,248.3,-0.8,40.201,68.92,,,
T,40.169390000,-97.115028000,447.4,,250.5,-0.6,40.331,129.49,,,
T,40.168006000,-97.120352000,446.5,,251.2,-0.2,40.809,478.85,,,
T,40.167847000,-97.121010000,446.3,,252.5,-0.4,40.868,58.77,,,
T,40.167699000,-97.121796000,445.9,,256.2,-0.5,40.937,68.94,,,
T,40.167600000,-97.122717000,445.1,,262.0,-1.0,41.016,79.22,,,
T,40.167549000,-97.123359000,444.3,,264.1,-1.5,41.071,54.98,,,
T,40.167515000,-97.124168000,443.6,,266.9,-1.1,41.140,69.02,,,
T,40.167450000,-97.125439000,443.3,,266.2,-0.3,41.249,108.51,,,
T,40.167402000,-97.126204000,442.9,,265.3,-0.6,41.314,65.38,,,
T,40.167338000,-97.126818000,442.2,,262.2,-1.1,41.367,52.78,,,
T,40.167244000,-97.127558000,440.9,,260.6,-2.2,41.431,63.90,,,
T,40.167145000,-97.128139000,440.5,,257.4,-0.7,41.482,50.70,,,
T,40.164821000,-97.141152000,430.5,,256.9,-0.9,42.620,1138.17,,,
T,40.164681000,-97.141883000,429.4,,255.9,-1.7,42.684,64.18,,,
T,40.164535000,-97.142478000,428.8,,252.2,-1.1,42.737,53.22,,,
T,40.164308000,-97.143233000,428.5,,248.5,-0.3,42.806,69.08,,,
T,40.164089000,-97.143852000,427.4,,245.2,-2.0,42.864,58.07,,,
T,40.163984000,-97.144110000,427.4,,242.0,0.3,42.889,24.88,,,
T,40.163894000,-97.144331000,427.2,,241.9,-1.1,42.911,21.31,,,
T,40.163674000,-97.144781000,427.6,,237.4,0.9,42.956,45.46,,,
T,40.163426000,-97.145231000,428.0,,234.2,0.8,43.003,47.20,,,
T,40.163178000,-97.145651000,428.4,,232.3,0.8,43.048,45.15,,,
T,40.162923000,-97.146021000,428.7,,228.0,0.7,43.091,42.37,,,
T,40.162825000,-97.146153000,428.6,,225.8,-0.7,43.106,15.65,,,
T,40.162408000,-97.146663000,428.8,,223.1,0.3,43.170,63.50,,,
T,40.161009000,-97.148160000,428.1,,219.3,-0.4,43.371,200.99,,,
T,40.158257000,-97.151061000,422.0,,218.9,-1.6,43.764,393.01,,,
T,40.155949000,-97.153479000,420.2,,218.7,-0.5,44.093,328.81,,,
T,40.152213000,-97.157398000,418.5,,218.7,-0.3,44.625,532.52,,,
T,40.150126000,-97.159591000,415.7,,218.8,-0.9,44.923,297.68,,,
T,40.148413000,-97.161363000,415.6,,218.3,-0.1,45.166,242.85,,,
T,40.147968000,-97.161912000,417.2,,223.3,2.4,45.234,68.04,,,
T,40.147658000,-97.162363000,419.0,,228.0,3.6,45.285,51.59,,,
T,40.147514000,-97.162599000,419.6,,231.4,2.1,45.311,25.69,,,
T,40.147340000,-97.162883000,420.4,,231.3,2.6,45.342,30.97,,,
T,40.147076000,-97.163482000,421.2,,240.0,1.4,45.401,58.86,,,
T,40.146877000,-97.164066000,422.3,,246.0,2.1,45.455,54.45,,,
T,40.146795000,-97.164354000,422.7,,249.6,1.5,45.482,26.18,,,
T,40.146765000,-97.164463000,422.9,,250.2,2.1,45.491,9.87,,,
T,40.146659000,-97.164903000,423.6,,252.5,1.7,45.531,39.30,,,
T,40.146603000,-97.165280000,423.7,,259.0,0.4,45.563,32.72,,,
T,40.146550000,-97.165805000,423.5,,262.5,-0.5,45.609,45.12,,,
T,40.146534000,-97.166142000,423.4,,266.4,-0.2,45.637,28.77,,,
T,40.146495000,-97.167113000,424.9,,267.0,1.8,45.720,82.85,,,
