type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.294562000,-96.746895000,396.7,,180.7,1.0,16.545,13.88,,,
T,40.294212000,-96.746882000,397.0,,178.4,0.8,16.584,38.88,,,
T,40.293690000,-96.746861000,397.1,,178.2,0.2,16.642,57.99,,,
T,40.293557000,-96.746855000,397.1,,178.0,-0.1,16.657,14.78,,,
T,40.292825000,-96.746812000,396.3,,177.4,-1.0,16.738,81.36,,,
T,40.292395000,-96.746796000,395.3,,178.4,-2.1,16.786,47.77,,,
T,40.292062000,-96.746794000,394.3,,179.7,-2.6,16.823,36.98,,,
T,40.291881000,-96.746791000,393.7,,179.3,-3.3,16.843,20.10,,,
T,40.291677000,-96.746794000,392.9,,180.6,-3.4,16.866,22.65,,,
T,40.291391000,-96.746796000,391.7,,180.3,-3.7,16.898,31.76,,,
T,40.290945000,-96.746810000,389.9,,181.4,-3.7,16.947,49.54,,,
T,40.289799000,-96.746861000,386.1,,181.9,-2.9,17.075,127.33,,,
T,40.289159000,-96.746879000,385.2,,181.2,-1.4,17.146,71.08,,,
T,40.288780000,-96.746880000,384.8,,180.1,-0.8,17.188,42.08,,,
T,40.288585000,-96.746879000,384.8,,179.8,-0.2,17.209,21.65,,,
T,40.287988000,-96.746882000,384.7,,180.2,-0.2,17.276,66.29,,,
T,40.287283000,-96.746888000,384.7,,180.4,0.1,17.354,78.28,,,
T,40.286872000,-96.746888000,384.7,,180.0,-0.1,17.400,45.64,,,
T,40.286305000,-96.746888000,384.7,,180.0,-0.0,17.463,62.96,,,
T,40.286063000,-96.746877000,384.5,,178.0,-0.6,17.489,26.89,,,
T,40.285805000,-96.746863000,382.6,,177.6,-6.7,17.518,28.67,,,
T,40.285529000,-96.746851000,382.7,,178.1,0.5,17.549,30.66,,,
T,40.284676000,-96.746831000,384.7,,179.0,2.1,17.644,94.73,,,
T,40.284373000,-96.746823000,384.8,,178.8,0.2,17.677,33.65,,,
T,40.284216000,-96.746813000,384.8,,177.2,0.3,17.695,17.45,,,
T,40.284091000,-96.746788000,384.9,,171.3,0.5,17.709,14.04,,,
T,40.283909000,-96.746739000,385.1,,168.4,0.7,17.729,20.63,,,
T,40.282922000,-96.746709000,385.8,,178.7,0.7,17.839,109.63,,,
T,40.282312000,-96.746699000,386.4,,179.3,0.9,17.907,67.74,,,
T,40.281871000,-96.746693000,386.5,,179.4,0.2,17.956,48.97,,,
T,40.281734000,-96.746690000,386.5,,179.0,-0.2,17.971,15.21,,,
T,40.280419000,-96.746662000,386.5,,179.1,-0.0,18.117,146.04,,,
