type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.494347000,-92.118465000,244.2,,224.7,-0.8,21.295,33.03,,,
T,38.494139000,-92.118720000,243.0,,223.8,-3.7,21.327,32.06,,,
T,38.493946000,-92.118938000,241.7,,221.5,-4.5,21.356,28.65,,,
T,38.493745000,-92.119141000,240.5,,218.3,-4.4,21.384,28.49,,,
T,38.493584000,-92.119300000,239.9,,217.7,-2.6,21.407,22.62,,,
T,38.493426000,-92.119438000,239.2,,214.4,-3.2,21.428,21.27,,,
T,38.493202000,-92.119630000,239.0,,213.9,-0.7,21.458,29.98,,,
T,38.492979000,-92.119820000,238.8,,213.7,-0.5,21.488,29.79,,,
T,38.492670000,-92.120085000,239.5,,213.9,1.6,21.529,41.36,,,
T,38.492492000,-92.120277000,240.2,,220.2,2.7,21.555,25.90,,,
T,38.492362000,-92.120429000,241.4,,222.5,5.9,21.575,19.60,,,
T,38.492249000,-92.120589000,241.6,,227.9,1.1,21.593,18.77,,,
T,38.492137000,-92.120753000,242.3,,228.9,3.8,21.612,18.95,,,
T,38.492029000,-92.120944000,242.5,,234.2,1.2,21.633,20.53,,,
T,38.491945000,-92.121111000,242.5,,237.3,-0.1,21.650,17.30,,,
T,38.491835000,-92.121380000,243.0,,242.4,1.9,21.677,26.45,,,
T,38.491744000,-92.121670000,243.2,,248.2,0.7,21.704,27.24,,,
T,38.491583000,-92.122260000,244.7,,250.8,2.6,21.758,54.49,,,
T,38.491278000,-92.123438000,242.9,,251.7,-1.7,21.867,108.21,,,
T,38.491039000,-92.124333000,238.8,,251.2,-4.9,21.949,82.47,,,
T,38.490782000,-92.125222000,238.5,,249.7,-0.4,22.032,82.64,,,
T,38.490668000,-92.125603000,239.1,,249.1,1.7,22.067,35.57,,,
T,38.490572000,-92.126024000,239.8,,253.8,1.8,22.106,38.24,,,
T,38.490474000,-92.126703000,243.0,,259.6,5.2,22.166,60.23,,,
T,38.490386000,-92.127417000,242.7,,261.1,-0.4,22.229,63.05,,,
T,38.490303000,-92.128119000,237.8,,261.4,-7.9,22.291,61.93,,,
T,38.490255000,-92.128484000,235.9,,260.5,-5.9,22.323,32.29,,,
T,38.490190000,-92.128827000,235.7,,256.4,-0.7,22.354,30.78,,,
T,38.490147000,-92.128985000,235.9,,250.8,1.2,22.368,14.59,,,
T,38.490095000,-92.129142000,235.8,,247.1,-0.6,22.383,14.86,,,
T,38.489984000,-92.129381000,235.9,,239.3,0.5,22.408,24.22,,,
T,38.489822000,-92.129627000,236.8,,229.9,3.0,22.436,28.00,,,
