type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	40.699478000	-99.102078000	2161.2		268.8	-2.0	43.745	219.11								
T	40.699429000	-99.102472000	2165.0		260.7	3.5	43.766	110.70								
T	40.699449000	-99.113275000	2198.9		270.1	1.1	44.333	2995.51								
T	40.699448000	-99.118485000	2206.3		270.0	0.5	44.607	1444.65								
T	40.699463000	-99.121122000	2211.7		270.4	0.7	44.745	731.22								
T	40.699529000	-99.121376000	2212.3		288.9	0.8	44.759	74.42								
T	40.699534000	-99.122271000	2201.0		270.4	-4.5	44.806	248.18								
T	40.699542000	-99.122439000	2203.9		273.6	6.2	44.815	46.67								
T	40.699539000	-99.124141000	2202.8		269.9	-0.2	44.904	471.94								
T	40.699518000	-99.126327000	2203.0		269.3	0.0	45.019	606.19								
T	40.699456000	-99.127084000	2211.2		263.8	3.8	45.059	211.12								
T	40.699440000	-99.127863000	2216.8		268.4	2.6	45.100	216.08								
T	40.699429000	-99.130390000	2219.6		269.7	0.4	45.233	700.71								
T	40.699400000	-99.131314000	2228.1		267.6	3.3	45.281	256.43								
T	40.699323000	-99.132089000	2212.7		262.5	-7.1	45.323	216.72								
T	40.699257000	-99.132510000	2214.8		258.3	1.7	45.345	119.19								
T	40.699127000	-99.133219000	2219.3		256.4	2.2	45.383	202.22								
T	40.698866000	-99.134498000	2216.7		254.9	-0.7	45.453	367.18								
T	40.698749000	-99.135407000	2222.7		260.4	2.3	45.501	255.63								
T	40.698713000	-99.135849000	2224.3		263.9	1.3	45.525	123.26								
T	40.698699000	-99.136373000	2220.1		268.0	-2.9	45.552	145.39								
T	40.698698000	-99.136974000	2229.7		269.9	5.8	45.584	166.65								
T	40.698714000	-99.137369000	2227.7		273.1	-1.8	45.605	109.68								
T	40.698762000	-99.138077000	2222.9		275.1	-2.5	45.642	197.10								
T	40.698835000	-99.138907000	2223.7		276.6	0.4	45.686	231.68								
T	40.698850000	-99.139345000	2221.7		272.6	-1.7	45.709	121.57								
T	40.698828000	-99.140569000	2207.8		268.6	-4.1	45.773	339.49								
T	40.698793000	-99.141058000	2203.8		264.6	-3.0	45.799	136.19								
T	40.698628000	-99.142281000	2208.9		259.9	1.5	45.864	344.41								
T	40.698491000	-99.143363000	2215.4		260.5	2.1	45.922	304.15								
T	40.698453000	-99.143867000	2220.4		264.3	3.6	45.948	140.44								
T	40.698416000	-99.144724000	2223.1		266.7	1.1	45.993	238.02								
T	40.698426000	-99.145319000	2225.5		271.3	1.5	46.025	165.03								
