type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.700059000	-108.640005000	5687.7		156.7	2.7	11.943	233.84								
T	42.696923000	-108.638142000	5725.9		156.4	3.1	12.180	1247.85								
T	42.693383000	-108.636018000	5768.2		156.2	3.0	12.447	1410.90								
T	42.691092000	-108.634486000	5796.1		153.8	3.0	12.623	931.04								
T	42.682749000	-108.628768000	5909.7		153.3	3.3	13.269	3407.26								
T	42.680404000	-108.627148000	5948.6		153.1	4.1	13.450	959.27								
T	42.678498000	-108.625701000	5986.1		150.8	4.7	13.601	796.21								
T	42.676207000	-108.623881000	6027.9		149.7	4.3	13.784	967.84								
T	42.674488000	-108.622648000	6034.2		152.2	0.9	13.919	708.84								
T	42.673065000	-108.621719000	6052.1		154.4	3.1	14.028	575.66								
T	42.671396000	-108.620595000	6041.4		153.7	-1.6	14.156	679.25								
T	42.670533000	-108.619992000	6041.2		152.8	-0.1	14.223	353.87								
T	42.669949000	-108.619552000	6053.1		151.0	4.9	14.269	243.53								
T	42.669051000	-108.618738000	6049.4		146.3	-0.9	14.344	393.75								
T	42.668098000	-108.617739000	6054.5		142.4	1.2	14.427	439.12								
T	42.667673000	-108.617245000	6056.4		139.5	1.0	14.466	204.07								
T	42.667267000	-108.616725000	6050.3		136.7	-3.0	14.504	203.61								
T	42.665401000	-108.614230000	6040.1		135.5	-1.1	14.685	955.43								
T	42.663840000	-108.612206000	6043.5		136.4	0.4	14.834	787.43								
T	42.660413000	-108.608117000	6041.6		138.7	-0.1	15.150	1664.24								
T	42.655511000	-108.602380000	6032.3		139.3	-0.4	15.597	2360.82								
T	42.654799000	-108.601543000	6035.4		139.2	0.9	15.662	343.56								
T	42.654403000	-108.601103000	6032.7		140.7	-1.5	15.697	186.66								
T	42.654154000	-108.600867000	6025.0		145.1	-6.9	15.718	110.75								
T	42.653831000	-108.600610000	6036.3		149.7	8.3	15.744	136.52								
T	42.653195000	-108.600299000	6035.9		160.2	-0.2	15.791	246.43								
T	42.652773000	-108.600192000	6029.1		169.4	-4.3	15.820	156.47								
T	42.652203000	-108.600130000	6025.1		175.4	-1.9	15.860	208.41								
T	42.651854000	-108.600165000	6027.3		184.2	1.7	15.884	127.54								
T	42.651369000	-108.600283000	6020.2		190.1	-3.9	15.918	179.59								
T	42.650834000	-108.600517000	6012.0		197.8	-4.0	15.957	204.89								
T	42.650524000	-108.600787000	6007.3		212.6	-3.5	15.982	134.32								
T	42.649905000	-108.601342000	6013.9		213.4	2.4	16.033	270.54								
T	42.649664000	-108.601613000	6013.1		219.6	-0.7	16.055	114.15								
T	42.648395000	-108.602940000	6025.2		217.6	2.1	16.166	584.26								
T	42.646914000	-108.604433000	6055.5		216.6	4.5	16.293	672.82								
T	42.646369000	-108.605014000	6073.2		218.1	7.0	16.341	252.76								
T	42.645971000	-108.605341000	6077.4		211.1	2.5	16.373	169.65								
T	42.645608000	-108.605647000	6088.3		211.8	7.0	16.403	155.82								
T	42.645052000	-108.605969000	6104.3		203.1	7.3	16.444	220.38								
T	42.644428000	-108.606269000	6116.4		199.5	5.0	16.490	241.32								
T	42.642554000	-108.606881000	6157.1		193.5	5.8	16.623	702.56								
T	42.642053000	-108.607009000	6154.0		190.6	-1.7	16.658	185.81								
T	42.641630000	-108.607063000	6166.7		185.4	8.2	16.688	154.85								
T	42.640543000	-108.607093000	6182.0		181.2	3.9	16.763	396.24								
T	42.640415000	-108.607096000	6180.3		181.0	-3.6	16.772	46.66								
T	42.639058000	-108.607096000	6190.0		180.0	2.0	16.865	494.56								
T	42.638271000	-108.607134000	6193.2		182.0	1.1	16.920	287.01								
T	42.637858000	-108.607208000	6201.6		187.5	5.5	16.948	151.83								
T	42.637361000	-108.607361000	6214.7		192.8	7.1	16.984	185.75								
T	42.636419000	-108.607585000	6235.1		189.9	5.8	17.050	348.57								
T	42.635172000	-108.607955000	6261.4		192.3	5.7	17.138	465.25								
T	42.634338000	-108.608151000	6278.7		189.8	5.6	17.196	308.50								
T	42.633671000	-108.608139000	6289.7		179.2	4.5	17.242	243.11								
T	42.632240000	-108.607956000	6304.7		174.6	2.9	17.341	523.85								
T	42.631709000	-108.607900000	6328.0		175.6	12.0	17.378	194.11								
T	42.631081000	-108.607955000	6336.3		183.7	3.6	17.422	229.36								
T	42.630726000	-108.608013000	6346.6		186.9	7.9	17.446	130.32								
T	42.630134000	-108.608190000	6361.2		192.4	6.6	17.488	220.95								
T	42.629554000	-108.608447000	6367.8		198.1	3.0	17.530	222.41								
T	42.629156000	-108.608721000	6374.5		206.9	4.1	17.561	162.72								
T	42.628646000	-108.609166000	6370.6		212.7	-1.8	17.603	221.11								
T	42.627760000	-108.610102000	6402.5		217.9	7.8	17.680	409.54								
T	42.627122000	-108.610762000	6427.9		217.3	8.7	17.736	292.61								
T	42.626562000	-108.611355000	6435.4		217.9	2.9	17.785	259.09								
T	42.625868000	-108.612106000	6455.1		218.5	6.1	17.846	323.77								
T	42.625536000	-108.612465000	6475.0		218.5	12.8	17.876	154.84								
T	42.625078000	-108.612900000	6487.5		214.9	6.2	17.914	203.89								
T	42.624617000	-108.613302000	6487.5		212.7	0.0	17.952	199.84								
T	42.624059000	-108.613674000	6498.7		206.1	4.9	17.995	226.68								
T	42.623626000	-108.613817000	6501.0		193.7	1.4	18.026	162.43								
T	42.623042000	-108.613967000	6512.9		190.7	5.5	18.067	216.64								
T	42.622446000	-108.614021000	6524.7		183.8	5.4	18.108	217.70								
T	42.621771000	-108.613941000	6540.3		175.0	6.3	18.155	246.95								
T	42.621311000	-108.613788000	6546.5		166.2	3.6	18.188	172.63								
T	42.620713000	-108.613522000	6559.4		161.9	5.6	18.231	229.40								
T	42.620165000	-108.613145000	6574.7		153.1	6.8	18.273	224.02								
T	42.619773000	-108.612744000	6580.4		143.0	3.2	18.307	179.05								
T	42.619441000	-108.612363000	6578.1		139.8	-1.5	18.337	158.61								
T	42.618068000	-108.610550000	6627.1		135.8	7.0	18.470	698.96								
T	42.615952000	-108.607589000	6681.2		134.2	4.9	18.680	1109.05								
T	42.615612000	-108.607230000	6691.2		142.2	6.3	18.710	157.14								
T	42.615324000	-108.606972000	6703.7		146.6	9.9	18.733	125.86								
T	42.614811000	-108.606645000	6713.6		154.9	4.8	18.772	206.65								
