Time (s),Velocity [m/s],Drag Force [N],S.O.C
1460.1165664978005,24.497297370092905,150.0293946096902,0.9138116117158848
1460.1274922843465,24.4968737382576,150.02420573703375,0.9138111063204033
1460.210358217967,24.49353413476963,149.98330360278123,0.913807273179716
1460.2932241515875,24.489971244020953,149.9396728832433,0.9138034400376488
1460.376090085208,24.48618586121966,149.89332450754839,0.9137996068942019
1460.4589560188285,24.482178816920605,149.844269905919,0.9137957737493752
1460.6531589612878,24.471925674793656,149.71878655815624,0.9137867904625203
1460.847361903747,24.460470387401358,149.57865289323468,0.9137778071680871
1461.0,24.450629351314472,149.45831891884018,0.9137707465438969
1461.0175854949039,24.449692397660524,149.4468645850547,0.9137699094483741
1461.0351709898077,24.44874580590626,149.43529287045473,0.9137690723527907
1461.0497763103265,24.447952637397286,149.42559704010523,0.9137683771178745
1461.0643816308452,24.44715263495893,149.41581798924483,0.9137676818829155
1461.078986951364,24.446346946959956,149.4059697627846,0.9137669866479133
1461.1053223399485,24.44488844379954,149.3881427574511,0.913765733044113
1461.1316577285331,24.443422468589475,149.3702254944862,0.9137644794401808
1461.1579931171177,24.441949354466,149.35222206157025,0.9137632258361114
1461.1843285057023,24.440469035038962,149.3341316631746,0.913761972231903
1461.327604811332,24.432287891829304,149.2341729073072,0.9137551520612622
1461.470881116962,24.423892385937517,149.13162981996416,0.9137483318864972
1461.6141574225917,24.415283596782775,149.0265182778325,0.9137415117076072
1461.7574337282215,24.406462874775936,148.918857514454,0.9137346915245922
1462.0,24.391050023692767,148.73083031457074,0.9137231449697955
1462.030866329501,24.3895408603706,148.7124258449218,0.9137216280586284
1462.0562156000906,24.388294465611832,148.69722673534818,0.9137203822805829
1462.0815648706803,24.387041121304733,148.681943663052,0.9137191365024085
1462.10691414127,24.385780841578413,148.66657681337318,0.9137178907241048
1462.3049070724053,24.375710238353193,148.54381240603917,0.9137081604478505
1462.5029000035406,24.365225821705163,148.416057335672,0.9136984301638142
1462.5664416248144,24.361773238234587,148.37399882779073,0.913695307434392
1462.6299832460882,24.358318592129145,148.3319211589161,0.913692184703942
1462.6538085172238,24.35702997125097,148.3162272551045,0.9136910138192824
1462.6776337883593,24.355749228746067,148.30063012339116,0.9136898429345021
1462.701459059495,24.35447653968571,148.2851318805254,0.9136886720496067
1462.7818774399168,24.350235216126475,148.23348877017148,0.9136847199147184
1462.8622958203387,24.346083035624048,148.18293979437527,0.9136807677785661
1462.9427142007605,24.342021516575063,148.13350287835084,0.913676815641125
1463.0,24.339183806109908,148.0989670869007,0.9136740003467306
1463.0263459398438,24.33825955943156,148.08771959556543,0.9136726710362523
1463.0526918796877,24.337344408888015,148.07658321920817,0.9136713417256378
1463.0790378195315,24.336438536390013,148.06556015887222,0.9136700124148843
1463.1668355608456,24.33348093699751,148.02957362780532,0.9136655824910872
1463.2546333021596,24.33062334236464,147.99480805700475,0.9136611525657855
1463.3424310434737,24.32786745538969,147.96128373175222,0.9136567226389481
1463.4302287847877,24.3252136167445,147.929004375063,0.913652292710564
1463.707161216043,24.31750633476902,147.83527858538287,0.9136383197801617
1464.0,24.31044389301381,147.74942056884314,0.9136235442604763
1464.0273786778469,24.310052150327333,147.74465888790866,0.9136221429558874
1464.0547573556937,24.30966956813262,147.7400086279483,0.9136207416511514
1464.0821360335406,24.309296328862757,147.73547200111508,0.9136193403462655
