unix_timestamp,speed_mps,temperature,relative_humidity,surface_pressure
1713131860093.0,12.917461455078113,24,0.374,972.8
1713131860144.0,12.917461455078113,24,0.374,972.8
1713131860194.0,12.917461455078113,24,0.374,972.8
1713131860245.0,12.917461455078113,24,0.374,972.8
1713131860295.0,12.917461455078113,24,0.374,972.8
1713131860346.0,12.917461455078113,24,0.374,972.8
1713131860397.0,12.917461455078113,24,0.374,972.8
1713131860450.0,12.917461455078113,24,0.374,972.8
1713131860498.0,12.917461455078113,24,0.374,972.8
1713131860548.0,12.917461455078113,24,0.374,972.8
1713131860609.0,12.917461455078113,24,0.374,972.8
1713131860649.0,12.917461455078113,24,0.374,972.8
1713131860700.0,12.917461455078113,24,0.374,972.8
1713131860750.0,12.917461455078113,24,0.374,972.8
1713131860800.0,12.917461455078113,24,0.374,972.8
1713131860851.0,12.299401506347674,24,0.374,972.8
1713131860901.0,12.299401506347674,24,0.374,972.8
1713131860952.0,12.299401506347674,24,0.374,972.8
1713131861002.0,12.299401506347674,24,0.374,972.8
1713131861053.0,12.299401506347674,24,0.374,972.8
1713131861103.0,12.299401506347674,24,0.374,972.8
1713131861171.0,12.299401506347674,24,0.374,972.8
1713131861204.0,12.299401506347674,24,0.374,972.8
1713131861255.0,12.299401506347674,24,0.374,972.8
1713131861305.0,12.299401506347674,24,0.374,972.8
1713131861356.0,12.299401506347674,24,0.374,972.8
1713131861406.0,12.299401506347674,24,0.374,972.8
1713131861458.0,12.299401506347674,24,0.374,972.8
1713131861509.0,12.299401506347674,24,0.374,972.8
1713131861562.0,12.299401506347674,24,0.374,972.8
1713131861610.0,12.299401506347674,24,0.374,972.8
1713131861662.0,12.299401506347674,24,0.374,972.8
1713131861710.0,12.299401506347674,24,0.374,972.8
1713131861760.0,12.299401506347674,24,0.374,972.8
1713131861811.0,12.299401506347674,24,0.374,972.8
1713131861861.0,12.299401506347674,24,0.374,972.8
1713131861915.0,12.299401506347674,24,0.374,972.8
1713131861965.0,12.299401506347674,24,0.374,972.8
1713131862016.0,12.299401506347674,24,0.374,972.8
1713131862066.0,12.299401506347674,24,0.374,972.8
1713131862117.0,12.299401506347674,24,0.374,972.8
1713131862168.0,12.299401506347674,24,0.374,972.8
1713131862218.0,12.299401506347674,24,0.374,972.8
1713131862268.0,12.299401506347674,24,0.374,972.8
1713131862319.0,12.299401506347674,24,0.374,972.8
1713131862369.0,12.299401506347674,24,0.374,972.8
1713131862420.0,12.299401506347674,24,0.374,972.8
1713131862470.0,12.299401506347674,24,0.374,972.8
1713131862521.0,12.299401506347674,24,0.374,972.8
1713131862573.0,12.299401506347674,24,0.374,972.8
1713131862624.0,12.299401506347674,24,0.374,972.8
1713131862672.0,12.299401506347674,24,0.374,972.8
1713131862723.0,12.299401506347674,24,0.374,972.8
1713131862773.0,12.299401506347674,24,0.374,972.8
1713131862826.0,12.299401506347674,24,0.374,972.8
1713131862881.0,12.299401506347674,24,0.374,972.8
1713131862942.0,12.299401506347674,24,0.374,972.8
1713131862978.0,12.299401506347674,24,0.374,972.8
1713131863032.0,12.299401506347674,24,0.374,972.8
1713131863078.0,12.299401506347674,24,0.374,972.8
1713131863134.0,12.299401506347674,24,0.374,972.8
1713131863182.0,12.299401506347674,24,0.374,972.8
1713131863229.0,12.299401506347674,24,0.374,972.8
1713131863280.0,12.299401506347674,24,0.374,972.8
1713131863330.0,12.299401506347674,24,0.374,972.8
1713131863381.0,12.299401506347674,24,0.374,972.8
1713131863431.0,12.299401506347674,24,0.374,972.8
1713131863493.0,12.299401506347674,24,0.374,972.8
1713131863539.0,12.299401506347674,24,0.374,972.8
1713131863582.0,12.299401506347674,24,0.374,972.8
1713131863633.0,12.299401506347674,24,0.374,972.8
1713131863684.0,12.299401506347674,24,0.374,972.8
1713131863734.0,12.299401506347674,24,0.374,972.8
1713131863784.0,12.299401506347674,24,0.374,972.8
1713131863835.0,12.299401506347674,24,0.374,972.8
1713131863885.0,12.299401506347674,24,0.374,972.8
1713131863938.0,12.299401506347674,24,0.374,972.8
1713131863986.0,12.299401506347674,24,0.374,972.8
1713131864039.0,12.299401506347674,24,0.374,972.8
1713131864088.0,12.299401506347674,24,0.374,972.8
1713131864138.0,12.299401506347674,24,0.374,972.8
1713131864193.0,12.299401506347674,24,0.374,972.8
1713131864246.0,12.299401506347674,24,0.374,972.8
1713131864326.0,12.144885666503903,24,0.374,972.8
1713131864362.0,12.144885666503903,24,0.374,972.8
1713131864402.0,12.144885666503903,24,0.374,972.8
1713131864442.0,12.144885666503903,24,0.374,972.8
1713131864494.0,12.144885666503903,24,0.374,972.8
1713131864542.0,12.113983521728509,24,0.374,972.8
1713131864592.0,12.113983521728509,24,0.374,972.8
1713131864643.0,12.113983521728509,24,0.374,972.8
1713131864694.0,12.113983521728509,24,0.374,972.8
1713131864744.0,12.113983521728509,24,0.374,972.8
1713131864795.0,12.113983521728509,24,0.374,972.8
1713131864847.0,12.113983521728509,24,0.374,972.8
1713131864896.0,12.113983521728509,24,0.374,972.8
1713131864946.0,12.113983521728509,24,0.374,972.8
1713131864997.0,12.113983521728509,24,0.374,972.8
1713131865047.0,12.113983521728509,24,0.374,972.8
1713131865098.0,12.113983521728509,24,0.374,972.8
1713131865148.0,12.113983521728509,24,0.374,972.8
1713131865199.0,12.113983521728509,24,0.374,972.8
1713131865249.0,12.113983521728509,24,0.374,972.8
1713131865300.0,12.113983521728509,24,0.374,972.8
1713131865350.0,12.113983521728509,24,0.374,972.8
1713131865401.0,12.113983521728509,24,0.374,972.8
1713131865451.0,12.113983521728509,24,0.374,972.8
1713131865502.0,12.113983521728509,24,0.374,972.8
1713131865552.0,12.113983521728509,24,0.374,972.8
1713131865603.0,12.113983521728509,24,0.374,972.8
1713131865653.0,12.113983521728509,24,0.374,972.8
1713131865704.0,12.113983521728509,24,0.374,972.8
1713131865754.0,12.113983521728509,24,0.374,972.8
1713131865805.0,12.113983521728509,24,0.374,972.8
1713131865855.0,12.113983521728509,24,0.374,972.8
1713131865906.0,12.113983521728509,24,0.374,972.8
1713131865956.0,12.113983521728509,24,0.374,972.8
1713131866007.0,12.113983521728509,24,0.374,972.8
1713131866057.0,12.113983521728509,24,0.374,972.8
1713131866108.0,12.113983521728509,24,0.374,972.8
1713131866158.0,12.113983521728509,24,0.374,972.8
1713131866209.0,12.113983521728509,24,0.374,972.8
1713131866259.0,12.113983521728509,24,0.374,972.8
1713131866310.0,12.113983521728509,24,0.374,972.8
1713131866361.0,12.113983521728509,24,0.374,972.8
1713131866411.0,12.113983521728509,24,0.374,972.8
1713131866462.0,12.113983521728509,24,0.374,972.8
