Reynolds_Number,Drag_Coefficient
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1573570.605,0.798735163
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1591202.863,0.794108362
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1610490.157,0.780576633
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
